Data;Nível (m);Volume (hm³);Volume (%);Q Jusante (m³/s);Q Natural (m³/s);Chuva (mm)
14/07/2021;733.82;99.45172426;58.09383967;0;3.657987016;0
13/07/2021;733.84;99.92995456;58.37319365;0;3.640058907;0.2
12/07/2021;733.86;100.4088699;58.65294775;0;7.119679615;0.2
11/07/2021;733.87;100.6485832;58.79297419;0;3.24786606;0
10/07/2021;733.89;101.1285192;59.07332449;0;6.230147081;0.2
09/07/2021;733.9;101.3687408;59.21364781;0;3.012268943;0
08/07/2021;733.92;101.8496891;59.49458947;0;3.67094102;0
07/07/2021;733.94;102.3313076;59.77592267;0;3.867166102;0.6
06/07/2021;733.96;102.8135928;60.05764525;0;7.005078446;0
05/07/2021;733.97;103.0549841;60.19865186;0;3.758494759;0
04/07/2021;733.99;103.5382621;60.4809544;0;5.937627179;0
03/07/2021;734;103.7801478;60.62224977;0;3.871251208;0
02/07/2021;734.02;104.2644102;60.90512734;0;5.915204963;0
01/07/2021;734.03;104.506786;61.04670898;0;5.665345178;0
30/06/2021;734.04;104.7493241;61.1883855;0;3.108422996;0.2
29/06/2021;734.06;105.2348858;61.47202204;0;5.784518843;0
28/06/2021;734.07;105.4779084;61.61398151;0;3.126800029;0
27/06/2021;734.09;105.9644346;61.89818144;0;7.277301623;0
26/06/2021;734.095;106.086166;61.96928976;0;7.463590658;0
25/06/2021;734.1;106.2079372;62.04042135;0;6.140161207;0
24/06/2021;734.11;106.4515989;62.18275417;0;6.100775709;0.2
23/06/2021;734.12;106.6954193;62.32517964;0;8.7883;0.2
22/06/2021;734.12;106.6954193;62.32517964;0;8.83268;3.2
21/06/2021;734.12;106.6954193;62.32517964;0;8.67375;0.2
20/06/2021;734.12;106.6954193;62.32517964;0;5.625035799;0.8
19/06/2021;734.13;106.9393977;62.46769745;0;5.962801488;0.4
18/06/2021;734.14;107.1835337;62.61030734;0;3.093922494;0
17/06/2021;734.16;107.6722767;62.89580221;0;6.390832262;0
16/06/2021;734.17;107.9168827;63.03868662;0;4.280524776;0
15/06/2021;734.19;108.4065612;63.32472795;0;4.818542878;0
14/06/2021;734.21;108.8968584;63.61113075;0;4.370956459;0
13/06/2021;734.23;109.3877706;63.89789271;0;4.614675701;0
12/06/2021;734.25;109.8792937;64.18501153;0;7.798360636;0
11/06/2021;734.26;110.125283;64.32870404;0;7.739380153;1.2
10/06/2021;734.27;110.3714237;64.4724849;0;7.674615429;0
09/06/2021;734.28;110.617715;64.61635381;0;4.18628978;1.6
08/06/2021;734.3;111.110748;64.90435464;0;7.862605927;0.4
07/06/2021;734.31;111.3574886;65.04848597;0;4.608292953;0
06/06/2021;734.33;111.8514156;65.337009;0;5.305293253;0
05/06/2021;734.35;112.3459335;65.62587723;0;5.780630315;0.2
04/06/2021;734.37;112.8410383;65.91508829;0;8.515417468;0
03/06/2021;734.38;113.0888095;66.05982165;0;5.699858985;0
02/06/2021;734.4;113.5847871;66.34954253;0;7.846923321;0
01/06/2021;734.41;113.8329924;66.49452945;0;7.45623043;0.6
